Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
dece227f5931f2c31d72459513619c8dc8037ec9873eb85b9afe17c5867a890b,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.132603,51.571604,On or near Japan Road,E01000032,Barking and Dagenham 002B,Bicycle theft,Investigation complete; no suspect identified,
03f90975e6fe589b6ef6ebd24b3120c9e8b9f7a06209e796e83a0c40158d2fe9,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.141982,51.572197,On or near Whalebone Lane North,E01000112,Barking and Dagenham 002E,Bicycle theft,Status update unavailable,
951cc9c4dc287d9528eb4740d335596406c2f4df9d6b97d3853a6d73a4e2390d,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.132395,51.570870,On or near Supermarket,E01000113,Barking and Dagenham 002F,Bicycle theft,Status update unavailable,
0b6a396023d82bcc8c7a33ff9d386c953bf03d2bc550f73ec239b4fc71e8de19,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.175537,51.564683,On or near Supermarket,E01000038,Barking and Dagenham 003C,Bicycle theft,Investigation complete; no suspect identified,
b416983c91c908dab62402098bfa6c41812cdcbef991521cd7ddb70d1b94d9cb,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.145491,51.560892,On or near Green Lane,E01000101,Barking and Dagenham 004C,Bicycle theft,Investigation complete; no suspect identified,
208e46d86dc45ec11bf57c0cca4f5167c0b33ec942b9c0c24c457e3282ca4fba,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.130513,51.550050,On or near Eliot Road,E01000078,Barking and Dagenham 007B,Bicycle theft,Status update unavailable,
28710718b1fcadde539bcbf860aaa650ccfc934ea05e7c0769565607ee035766,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.119851,51.549695,On or near Highgrove Road,E01000024,Barking and Dagenham 008D,Bicycle theft,Investigation complete; no suspect identified,
de7127086f1aeebd397cf00104cfc544de741bf4083e16fd5abb9af9487f7492,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.157273,51.543725,On or near Reede Way,E01000015,Barking and Dagenham 009A,Bicycle theft,Court result unavailable,
b655716bd4f11e86681a349493a14aa0ff3fcd6022161688e2614d62017fb087,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.151717,51.547622,On or near Alibon Road,E01000018,Barking and Dagenham 009D,Bicycle theft,Investigation complete; no suspect identified,
dc50533ca874cdfe3e7ef2b10bbcd3e6857bfd68dd7a0984217d77ca486eb998,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.165546,51.545110,On or near Police Station,E01000036,Barking and Dagenham 010B,Bicycle theft,Investigation complete; no suspect identified,
22a4a863539de655b3ee9f50daec11db82abae764e63482ac9b95e1325060e01,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.114877,51.547249,On or near Ivinghoe Road,E01000073,Barking and Dagenham 012B,Bicycle theft,Investigation complete; no suspect identified,
e874d77108425ae2b3b3369f59e819ae65f6d914a7d2b5fd234767a537c4accb,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.141106,51.538203,On or near Cartwright Road,E01000059,Barking and Dagenham 013C,Bicycle theft,Investigation complete; no suspect identified,
3e4b7084a5e051de7778b3cbb2d2644b9068c97f51e842e07a128180d9ec4f6e,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.147969,51.541234,On or near Heathway,E01000084,Barking and Dagenham 013D,Bicycle theft,Status update unavailable,
aaa95ae149dffe87da4b575c103d95dbab5db07cfc0c41b84376901878d0a445,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.147969,51.541234,On or near Heathway,E01000084,Barking and Dagenham 013D,Bicycle theft,Status update unavailable,
1ec2af72f451de071bf6813c95a73574b3de45f19d76a01446f70bacbef17c14,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.159846,51.538965,On or near St Giles Close,E01000106,Barking and Dagenham 014D,Bicycle theft,Status update unavailable,
3b4527a01dd4c9366d10c9f853cd5385afe399902c9457e2b70436fcb0d83454,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.076901,51.539033,On or near Cuthberga Close,E01000007,Barking and Dagenham 015A,Bicycle theft,Status update unavailable,
540f9b8cd6a34ae8afbc85cafe20dfe762c9711117800498bcc49fcccdbf2081,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.080696,51.537186,On or near Ripple Road,E01000010,Barking and Dagenham 015C,Bicycle theft,Investigation complete; no suspect identified,
0b52f6f60b2cca695a408b99b85c64d4344c42c4f462168cd43a93bbbd0b9651,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.076951,51.536326,On or near East Street,E01000010,Barking and Dagenham 015C,Bicycle theft,Investigation complete; no suspect identified,
b2bc3d98bb0a38d188e343563bf475493dd10c8d0beff391f16362d728a03677,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.115847,51.534273,On or near Goresbrook Road,E01000045,Barking and Dagenham 017C,Bicycle theft,Investigation complete; no suspect identified,
00c799b868643e92c7c9545c5c3ed011c548a4ce51b5ca888113150026fb2aaa,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.113572,51.541184,On or near Supermarket,E01000072,Barking and Dagenham 017E,Bicycle theft,Investigation complete; no suspect identified,
e871a670705c94c8b9e11e06ded036ad9ba37e5118b39ca9efda0cfa81779481,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.097890,51.536987,On or near Tresham Road,E01000040,Barking and Dagenham 019A,Bicycle theft,Investigation complete; no suspect identified,
47b6347e000726cfd842804c29f27b882b84fc8762f6cb148cf148ffd9ebf8a0,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.111576,51.524233,On or near Spinnaker Close,E01000094,Barking and Dagenham 022C,Bicycle theft,Investigation complete; no suspect identified,
c59b2d87fa2f8ba0922744707fa0e9efe3786918b3b7bb380dc2a12689191012,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.130914,51.566958,On or near Spring Close,E01000112,Barking and Dagenham 002E,Bicycle theft,Investigation complete; no suspect identified,
03bb9fd1c92d98a649f8248aae69db385f121ab55e97a533e1f772fe909a10c7,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.143235,51.553425,On or near Halbutt Gardens,E01000063,Barking and Dagenham 004A,Bicycle theft,Investigation complete; no suspect identified,
4d2a97707b55862f7bc62c94df39cc23bf5bd140ee53680eea80029f4c217c0b,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.113706,51.550300,On or near Lodge Avenue,E01000023,Barking and Dagenham 008C,Bicycle theft,Status update unavailable,
56eafb24153d623abbdae4592da74d00b734a3d9b38e824918bc94b3bde97397,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.165546,51.545110,On or near Police Station,E01000036,Barking and Dagenham 010B,Bicycle theft,Status update unavailable,
be7e063e9bc0fa1826f06d8f521ba48f48eaeb3896439226da4d225e6013dab4,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.165546,51.545110,On or near Police Station,E01000036,Barking and Dagenham 010B,Bicycle theft,Status update unavailable,
2edc164e1780cb1981327a3dde7a234cb11207519423f9811da1c91bffe7f1bc,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.127913,51.539459,On or near Supermarket,E01000057,Barking and Dagenham 012A,Bicycle theft,Investigation complete; no suspect identified,
0685ccbcdc7b34a98cb2ad9f6ea5a75790e7df5bff7a3dfcdf0e9d48e9f9d26e,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.148862,51.542422,On or near Parking Area,E01000013,Barking and Dagenham 013A,Bicycle theft,Investigation complete; no suspect identified,
8b00e85d654d48e38082dd384821a8a2c69b3f5fe00182bfd00338c5c348a326,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.148862,51.542422,On or near Parking Area,E01000013,Barking and Dagenham 013A,Bicycle theft,Status update unavailable,
afbebf565831155548674428ecf6ac3e6d309a2ec497651e98c96a6aa045591a,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.080477,51.539024,On or near Supermarket,E01000007,Barking and Dagenham 015A,Bicycle theft,Investigation complete; no suspect identified,
22d9f82638725dc3aa109fd70cacf6ed084b5fe9bbb017f9174e75e0db4697e6,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.080477,51.539024,On or near Supermarket,E01000007,Barking and Dagenham 015A,Bicycle theft,Investigation complete; no suspect identified,
0afbc503fc60c05217c8498d16450b6ae558de3852baf73b9df6e44a9a0ba8e3,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.084145,51.541333,On or near Longbridge Road,E01000009,Barking and Dagenham 016B,Bicycle theft,Status update unavailable,
27f5b07b0a822337ae1237ea04a2b11db49228db5e062d47691ce18429c33f32,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.113572,51.541184,On or near Supermarket,E01000072,Barking and Dagenham 017E,Bicycle theft,Investigation complete; no suspect identified,
b15a93e3467a0a6d048f40eda72305c9a98542280c7affd329d0ac4e5d7216bb,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.134382,51.535340,On or near Elstow Gardens,E01000056,Barking and Dagenham 018C,Bicycle theft,Investigation complete; no suspect identified,
52b98dcb9f4eea178549c0414f0e2a73adcf570c4817305e8dcde91f017d2748,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.099166,51.526794,On or near Curzon Crescent,E01000093,Barking and Dagenham 022B,Bicycle theft,Status update unavailable,
e4a88ab499592e726f83b37eed69e8d6d77983e427835f040256236e54eeeb72,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.116666,51.554725,On or near Vicar'S Walk,E01000021,Barking and Dagenham 008A,Bicycle theft,Status update unavailable,
67c37c4b59110c73c0e079a40a9e6d2d0605ec43ebb69c3c871ff3fd45cefd30,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.100019,51.545951,On or near Halsham Crescent,E01000067,Barking and Dagenham 011B,Bicycle theft,Status update unavailable,
9570c9b7b2ef2dc8a37a1b6a0f3f8dfa02879c5de43c38b0f128273f4162bc0c,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.127913,51.539459,On or near Supermarket,E01000057,Barking and Dagenham 012A,Bicycle theft,Status update unavailable,
43b80089d77039e9099c7d56cd276cc6edf7ff50fbf38866078caeb9d2a83fc2,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.127913,51.539459,On or near Supermarket,E01000057,Barking and Dagenham 012A,Bicycle theft,Investigation complete; no suspect identified,
451837101d4f33023531e7055afd2860930efa9b6021df486e59ab9f9f970c05,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.079435,51.536722,On or near Parking Area,E01000010,Barking and Dagenham 015C,Bicycle theft,Investigation complete; no suspect identified,
b444a5931c9ed79d3706fa807e626a63c161fd9c9d4fa568fc9bc2ff4b7d45ba,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.082375,51.540150,On or near Longbridge Road,E01000009,Barking and Dagenham 016B,Bicycle theft,Investigation complete; no suspect identified,
caa445b0812a4534cd84627bbb1cc36b0416f9c7b8ce6a190da56ff71cefbad2,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.080661,51.542420,On or near Fanshawe Avenue,E01000011,Barking and Dagenham 016C,Bicycle theft,Status update unavailable,
056fcb9abf36497fd24131209d4fad620c8c6d1ffc70067d30a94d6e26cf3759,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.113219,51.545084,On or near Lodge Avenue,E01000072,Barking and Dagenham 017E,Bicycle theft,Status update unavailable,
f5b1a8a82ebb47010c13868c6e7d9dcfa75d44b1ca1b30cbd432e6e3af107f24,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.116187,51.527918,On or near Abridge Way,E01000094,Barking and Dagenham 022C,Bicycle theft,Investigation complete; no suspect identified,
708401d224b5e511ee42d52b90579e4b82c5bc446fa1db961e40f7e11c57db39,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.131551,51.559923,On or near Bonham Gardens,E01000099,Barking and Dagenham 023E,Bicycle theft,Status update unavailable,
f2b6a5a15582a5008a35a828f44ac32fd1007b72f1c4b8529a7730cce27d0479,2016-12,Metropolitan Police Service,Metropolitan Police Service,0.129799,51.561025,On or near Valence Avenue,E01000099,Barking and Dagenham 023E,Bicycle theft,Status update unavailable,
1f7cfec188b39f4da8f3ebafbdc0c998273a5ea7d8f97ae601d755898a87c52e,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.140506,51.560138,On or near Parking Area,E01000100,Barking and Dagenham 004B,Bicycle theft,Status update unavailable,
de16a21f39d775c088f90f2ab0cde3f78fdcc28b83aeec1863d3bc0f6f7a1c1e,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.148494,51.561242,On or near Wood Lane,E01000114,Barking and Dagenham 004E,Bicycle theft,Investigation complete; no suspect identified,
9938a9484194a56129246a43220db41744b2028ce3d850e58a944090ce5fd773,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.150809,51.559248,On or near Trefgarne Road,E01000060,Barking and Dagenham 006B,Bicycle theft,Status update unavailable,
c027660ed3d5f942cdc27ab95b0773b3a07a3c7c173b83c95d47de258a12f20a,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.154120,51.561849,On or near Gosfield Road,E01000061,Barking and Dagenham 006C,Bicycle theft,Investigation complete; no suspect identified,
cff57c18595ec4562150f10b1376e3976dc65426ac3854711281417234f3f7cc,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.149606,51.545970,On or near Pettit'S Road,E01000018,Barking and Dagenham 009D,Bicycle theft,Status update unavailable,
553aec39c278850aa2327855dc4fc9b28d357ec88fa917a6fbd8f6139bb267cf,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.165546,51.545110,On or near Police Station,E01000036,Barking and Dagenham 010B,Bicycle theft,Status update unavailable,
12764986260d19eba5947ac55206b084cb0c92e20079a1101812820c603eda18,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.148729,51.540842,On or near Shopping Area,E01000105,Barking and Dagenham 014C,Bicycle theft,Investigation complete; no suspect identified,
e899b96780a1c60570fe09a131983dd81a90b970112447846e456ce82a33cd90,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.077044,51.537106,On or near Parking Area,E01000010,Barking and Dagenham 015C,Bicycle theft,Status update unavailable,
9d5c55dbb66ad2f8af97729749d1693fd2a3a90dec35f4dcadc8b41ca5c28445,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.147896,51.531712,On or near Pedestrian Subway,E01000087,Barking and Dagenham 020B,Bicycle theft,Investigation complete; no suspect identified,
71e57ecf5fcc68da9bc823836416208cdf75ad0e589026ed2cf80557746ca260,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.099166,51.526794,On or near Curzon Crescent,E01000093,Barking and Dagenham 022B,Bicycle theft,Status update unavailable,
406c650b2f7c444d2b341b84b229cbb9d2970285a97b6de91a29f635db3d2543,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.112370,51.527690,On or near Chelmer Crescent,E01000096,Barking and Dagenham 022D,Bicycle theft,Status update unavailable,
2352607e60bad663e4289cba3278ff42da0e35f62f0c1a7b7938a760997a5d87,2017-02,Metropolitan Police Service,Metropolitan Police Service,0.129754,51.568706,On or near Station Road,E01000113,Barking and Dagenham 002F,Bicycle theft,Status update unavailable,
ac286585a1b367f9edca9391542a435d4a0b1da28443a775b24ddddc32979c5b,2017-02,Metropolitan Police Service,Metropolitan Police Service,0.149642,51.551635,On or near Sterry Road,E01000062,Barking and Dagenham 006D,Bicycle theft,Status update unavailable,
462ca53cc54f08e7c9c011cd8a2a2a68ab7cbd1a50f7d992c5ebd6aa57eb70a3,2017-02,Metropolitan Police Service,Metropolitan Police Service,0.131798,51.551322,On or near Hobart Road,E01000078,Barking and Dagenham 007B,Bicycle theft,Status update unavailable,
8eaa3915ca6c6f1544537186d7cfd72ccb575e54b10773c7fb22446c030a910d,2017-02,Metropolitan Police Service,Metropolitan Police Service,0.148445,51.545218,On or near Pettit'S Place,E01000018,Barking and Dagenham 009D,Bicycle theft,Status update unavailable,
14b3ebe333c8a790584b4a8fae58d5a6dc3522a9523fbd179c95d773575ee6d8,2017-02,Metropolitan Police Service,Metropolitan Police Service,0.174585,51.542002,On or near Auriel Avenue,E01000107,Barking and Dagenham 010C,Bicycle theft,Status update unavailable,
68ad7db32ba02158fc34f5cda56d8e361869a93f1f8c451832bb042aa6565a2d,2017-02,Metropolitan Police Service,Metropolitan Police Service,0.107915,51.546718,On or near Southwold Drive,E01000066,Barking and Dagenham 011A,Bicycle theft,Status update unavailable,
10078ecb2873c519b001f478b5ed8407d2531b84e37e895b624da798c7207f6e,2017-02,Metropolitan Police Service,Metropolitan Police Service,0.127913,51.539459,On or near Supermarket,E01000057,Barking and Dagenham 012A,Bicycle theft,Investigation complete; no suspect identified,
