Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
fbed68750d1c050f9df698d5488467d2deefeeeaa3e6f7470028bacedb9cf97a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.286229,51.594690,On or near Parking Area,E01000594,Brent 001F,Bicycle theft,Status update unavailable,
9d25e9b3051c3b0ecbd612668eb6f9264cde3e501d58bf75c7f5fe424cc32331,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.218041,51.557040,On or near Ashford Road,E01000553,Brent 015A,Bicycle theft,Status update unavailable,
405333d4d2a8143af3e429f0b1316b9f497669afef6a45bda5d33fd453b6f437,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.225505,51.555777,On or near Dicey Avenue,E01000555,Brent 015C,Bicycle theft,Status update unavailable,
41cb47ad25237c19c619841141750918aa6f99919965e453caae76fb41b18d80,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.272091,51.558631,On or near Shopping Area,E01000615,Brent 017B,Bicycle theft,Investigation complete; no suspect identified,
9edf8be76d06c0ffca7ac9024d00de7138c8010d962e6ac660391828638d8546,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.278962,51.562733,On or near Further/Higher Educational Building,E01000615,Brent 017B,Bicycle theft,Status update unavailable,
820432586dcc32ad9d82af4495b1053d65cbceb6eed16889ff418a891eae9e00,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.280243,51.558589,On or near Engineers Way,E01033424,Brent 017F,Bicycle theft,Investigation complete; no suspect identified,
197092f6598ce5fc891827b0e3922575e900dc885e7d2ea86a9f5d4c1afe76fc,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.284756,51.559059,On or near Empire Way,E01033424,Brent 017F,Bicycle theft,Status update unavailable,
fcf4deea29f9b753b4a8b38a2771601345ff69285bd38dad63270191b52cbd54,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.225747,51.551779,On or near Riffel Road,E01000504,Brent 018A,Bicycle theft,Status update unavailable,
6fbcfb273877e97d45986117a10ac92aadaab80a3e04a7c18c205f87f28dc9a9,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.239066,51.551998,On or near Pedestrian Subway,E01000507,Brent 018C,Bicycle theft,Status update unavailable,
716a914c6da7e586569792ea21c165daa9eab5b2f78b254b3a6cbcb0d97d8a6d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.302392,51.556519,On or near Alliance Close,E01000634,Brent 019E,Bicycle theft,Status update unavailable,
bf3e1ef120ea502194c97ceaa18681ce913cf99a26dd2c73b9745d4a8a45ba4f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.275269,51.544038,On or near Argenta Way,E01000620,Brent 020B,Bicycle theft,Status update unavailable,
2cb4563462b73c8ba9bb67e65a06748af3aec59493a0debd09e9b1f0bf4679cd,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.298859,51.552242,On or near Nightclub,E01000635,Brent 020D,Bicycle theft,Investigation complete; no suspect identified,
53e0d4b5ef8ad7ae8beffd4484732ea014e5ede4f10178c3b1622a39f1ef0dcd,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.298859,51.552242,On or near Nightclub,E01000635,Brent 020D,Bicycle theft,Status update unavailable,
9825264de09318405290417edcb8c8139427dcea60da29f3c8c7ca1e2e72aff7,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.259855,51.549620,On or near Elgar Avenue,E01000596,Brent 021A,Bicycle theft,Status update unavailable,
bb988387a5d4825fcbfda7499e96038773dc3a7c4d412376e77ac232bea23b06,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.262474,51.554343,On or near Parking Area,E01000601,Brent 021B,Bicycle theft,Investigation complete; no suspect identified,
b958455c622c3774a1565ee8f5831890d283274cb19566df131a913c9486fda1,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.223003,51.547044,On or near Willesden Lane,E01000642,Brent 022D,Bicycle theft,Status update unavailable,
c4f0d4b9236d727596dee740879b9e13b48ff461ee458e13089fbfb8e8fdbb70,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.226874,51.547282,On or near Richmond Avenue,E01000642,Brent 022D,Bicycle theft,Investigation complete; no suspect identified,
f0e1e01c09ba63e6700cc66955b692ee6f1c17280b0a78ba86b08c46df8abb07,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.202829,51.545514,On or near Gladstone Mews,E01000490,Brent 023A,Bicycle theft,Status update unavailable,
50398801127d3aa1daa9cc780521a75346c2b20a3e88bd606819cd002a1117ab,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.207940,51.544998,On or near Mowbray Road,E01000490,Brent 023A,Bicycle theft,Investigation complete; no suspect identified,
