Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
373f7c2a14faa11c84f9d113708d42332cc189848a7fc530002b9bf878556ff4,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.148303,51.556761,On or near Glenhurst Avenue,E01000912,Camden 001D,Bicycle theft,Status update unavailable,
ea7fc9245e56d28e54054a817cf71390d98525511f20d7a7ef82849a62ad8d9f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.140544,51.554588,On or near Bellina Mews,E01000921,Camden 003C,Bicycle theft,Status update unavailable,
09801309674658f881cebc4e0f52f45aea0a61d6da4b85f6a2ace7bbee4c9aa4,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.138952,51.557557,On or near Dartmouth Park Hill,E01000928,Camden 003E,Bicycle theft,Status update unavailable,
6e485a3110c43fead97a9c42d885bddf34f1029e8b91ef471c211d065fae4d46,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.138952,51.557557,On or near Dartmouth Park Hill,E01000928,Camden 003E,Bicycle theft,Local resolution,
e108f826aceb1b0643acb96a4147475cb2623e959789ec6a67e7cbec36bd685b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.201922,51.552424,On or near Gondar Gardens,E01000873,Camden 005C,Bicycle theft,Status update unavailable,
d64a81f02bb53844b8656426b2196a8e05eecdd3f78c640e15160d955028b97e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.150402,51.550535,On or near Queen'S Crescent,E01000901,Camden 007D,Bicycle theft,Investigation complete; no suspect identified,
35759e8e8ea6f4b6b80a2bdc895c092576a4f161504f5721e5786ac15d11d0db,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.149931,51.549341,On or near Weedington Road,E01000901,Camden 007D,Bicycle theft,Status update unavailable,
6f8b73939b6bcc856b9ee9702281bc7feffe6d33afc2f388d84b39478d58d83b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.148346,51.548245,On or near Athlone Street,E01000901,Camden 007D,Bicycle theft,Status update unavailable,
c51f710bd2cc6285f8acd06aafcd4d6480d5a95cb03e784abbe4e8b13d962fb0,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.144229,51.546643,On or near Prince Of Wales Road,E01000927,Camden 007F,Bicycle theft,Investigation complete; no suspect identified,
747d3e180507f6319c67f41bc8123bcf1fba786f3a6fd34b48c1d55d9cad7ada,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.165324,51.553224,On or near Hospital,E01000898,Camden 008E,Bicycle theft,Status update unavailable,
912c51a54d5952abfabdc69c49a69eb66a63260c8133908817c3ea1c59787b7a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.129310,51.548879,On or near A5200,E01000926,Camden 009E,Bicycle theft,Status update unavailable,
bb115b5bfaa86a4013db94f7b711dfa5a8113db36c406728e679f1d38906d814,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.191432,51.546319,On or near Nightclub,E01000973,Camden 010E,Bicycle theft,Investigation complete; no suspect identified,
0fbb626e34d01bb7ff6229a02c5648f8d18fae479893b200fa75a37d36160087,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.171263,51.549001,On or near Belsize Terrace,E01000848,Camden 011C,Bicycle theft,Status update unavailable,
42288faa83b698807740b2c066b07a20abbc90926d321971276a6facec13b9d2,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.154983,51.546767,On or near Modbury Gardens,E01000900,Camden 012A,Bicycle theft,Status update unavailable,
a82ff48af2e31c967c752a23920e880d704435200e4c3c13eed6ce04b207b3f6,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.154186,51.549345,On or near Herbert Street,E01000900,Camden 012A,Bicycle theft,Status update unavailable,
07a171fc8634d17a7d47b89d9428d701d67539ccd0c62aced5e77b17a8ef27a7,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.146588,51.543946,On or near Clarence Way,E01000904,Camden 012C,Bicycle theft,Investigation complete; no suspect identified,
e18ecebb4d4903580aa7dd1a5b9366af647cd1c6f5f81fa9607f9628ddec79fa,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.160064,51.547027,On or near Stanbury Court,E01000843,Camden 014A,Bicycle theft,Status update unavailable,
352e00fe7243750712b1670885fca7514a466b7025908d5b4aea407b54a650af,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.162627,51.543902,On or near Primrose Hill Road,E01000845,Camden 014B,Bicycle theft,Investigation complete; no suspect identified,
33762bb5aa2885a0dea26bf3b211038e4d663f7f8b01ac59054f8b803699f8c5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.136709,51.544311,On or near Rochester Mews,E01000867,Camden 015C,Bicycle theft,Status update unavailable,
eac0c8e197e8f6c49e897ad8da230aee21f9d1df24dab1608e844de28a1b6ea2,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.180910,51.543278,On or near Goldhurst Terrace,E01000962,Camden 016A,Bicycle theft,Investigation complete; no suspect identified,
b97535bd4703f6c5c78ea275ba27cbac9c175563391ebc0fe4868437afe76f83,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.183354,51.544899,On or near Canfield Gardens,E01000964,Camden 016B,Bicycle theft,Status update unavailable,
0cd000f48d1f0ce2d997a4c222757056b2637a78a972bfeef32262bb9ef71cd1,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.184848,51.542161,On or near Aberdare Gardens,E01000966,Camden 016D,Bicycle theft,Status update unavailable,
1f62168fef3a6b79afbc5770efaf653e633e052bd3e84bc75f8060eeddc78527,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.179669,51.546182,On or near Supermarket,E01000960,Camden 017A,Bicycle theft,Status update unavailable,
5bad85c40e148dc1b38805a39d151eb8ea7311b4c2c01f9e876a5b88e2f4f030,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.154092,51.543480,On or near Regent'S Park Road,E01000858,Camden 018B,Bicycle theft,Status update unavailable,
400c62286380158ace53c38f7d9b0aa95cc896b749c8e797a749b8bf60810615,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.154671,51.539506,On or near Primrose Hill Studios,E01000859,Camden 018C,Bicycle theft,Status update unavailable,
