Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
ba34415363bf76fda4776a97511dc08055ba5c4252619ff293c1c93c80fe2707,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.083249,51.418543,On or near Haynes Lane,E01001164,Croydon 001E,Bicycle theft,Status update unavailable,
3b494d01308109fc2b6b7b3d789a90dc9be4c042ffcfde11764a5425c56af01e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.074958,51.398839,On or near Grosvenor Road,E01001145,Croydon 008C,Bicycle theft,Status update unavailable,
30028500363a9a8bb92caaef6bb12679f0e96d2db261fe8bde39920dc328e01d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.091752,51.393601,On or near Wisbeach Road,E01001113,Croydon 013D,Bicycle theft,Status update unavailable,
5505570a6692948dfc8e4405a444669dc603cef9f6bdd687d6b1f6fea2d65734,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.063756,51.386658,On or near Spring Lane,E01000992,Croydon 014A,Bicycle theft,Investigation complete; no suspect identified,
d4eff7fb16ec99e3d4e5e4e7224b033f93e54aaedfe7d86f3a13f7f4474ff8b5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.108342,51.385533,On or near Kelling Gardens,E01001117,Croydon 015C,Bicycle theft,Investigation complete; no suspect identified,
949f7c2e80b0b9d5b1971d73cebcc4a7277a10789c72504e288932f66a1faef7,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.108784,51.389120,On or near Hospital,E01001178,Croydon 015D,Bicycle theft,Investigation complete; no suspect identified,
c5579e890c178c4defe14cac4bc1c5e13f68553a260222c6c661f9e00d860b16,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.122409,51.388071,On or near Thornton Avenue,E01001177,Croydon 016C,Bicycle theft,Status update unavailable,
7451445dae3a5d6f25fbfd41b6af5dccb8e77da9c8eaf732486f54e492082ad7,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.082295,51.383950,On or near Exeter Road,E01000982,Croydon 017C,Bicycle theft,Status update unavailable,
34b5e17e19d2f2b4f549333222e3b2d631ae131e0f05c2e54581a939c9654f6d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.077292,51.386728,On or near Lindfield Road,E01001187,Croydon 017E,Bicycle theft,Investigation complete; no suspect identified,
16d4162f360af60651a3720e3c608314cfff46e3fdb12ca9974873dd86e42e6d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.077292,51.386728,On or near Lindfield Road,E01001187,Croydon 017E,Bicycle theft,Investigation complete; no suspect identified,
