Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
730753e21c1a4000b882519109dbfee11f51958cec27580c7d78ef6b32465b36,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.349436,51.556049,On or near Wood End Close,E01001309,Ealing 001C,Bicycle theft,Status update unavailable,
7c7525b951805614a763bca36719b90d064e9c1a2d251bab9eddfbce0dadff0e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.368742,51.554313,On or near Dabbs Hill Lane,E01001318,Ealing 003D,Bicycle theft,Status update unavailable,
926b006ddf64c51671a94aeb947a476e58faa0d83657ec0e0f995885d5197b89,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.365206,51.543096,On or near Rowdell Road,E01001322,Ealing 004C,Bicycle theft,Status update unavailable,
3ff3714ddfa615c5099c622264e58c0e940b9eea582ac98f176b49aebec2286e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.367875,51.548294,On or near Pedestrian Subway,E01001322,Ealing 004C,Bicycle theft,Investigation complete; no suspect identified,
8b2d75593f2b18c65bacf474df6622941b99d26b535d13f81780a81c7f4f5614,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.372565,51.546606,On or near Petworth Close,E01001323,Ealing 004D,Bicycle theft,Status update unavailable,
95ae16b5f30044f91fa3dbbcf7290dd4a888d855533b9aaf933012ea18e3153a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.344183,51.533080,On or near Penifather Lane,E01001267,Ealing 006C,Bicycle theft,Investigation complete; no suspect identified,
e608cd7104e2c8ccccdc9b5a290d6192053f2bcffbddaac66543edadfea10dae,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.351382,51.541733,On or near Birkbeck Avenue,E01001272,Ealing 006D,Bicycle theft,Investigation complete; no suspect identified,
fa8d577a662f4f1629bdb6fcfe1faa4ce3355acbf66ebd3b089c84821c2edcff,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.323576,51.536322,On or near Chilham Close,E01001344,Ealing 007A,Bicycle theft,Status update unavailable,
86c6533bc062d9a9843bef57379b79d12408955954421c32bc55495b57d755f5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.371896,51.537461,On or near Swallow Drive,E01001263,Ealing 010D,Bicycle theft,Investigation complete; no suspect identified,
5aa8e9a37542907515cc4e12e6dd1610d16fa9293b933810192f3808d3a208f4,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.379562,51.529492,On or near Ballinger Way,E01032743,Ealing 010F,Bicycle theft,Status update unavailable,
