Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
88761ed75c800e7f3ce70d67b576a19771f347360eb32fe34eb129861984f59f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.073414,51.573252,On or near Supermarket,E01001808,Hackney 001A,Bicycle theft,Investigation complete; no suspect identified,
076b30c47e80793bf6fe53cf84a7226c75e5725a9e972274c6faf1fdc7fc53d1,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.073414,51.573252,On or near Supermarket,E01001808,Hackney 001A,Bicycle theft,Status update unavailable,
81042b3ed8693ed9ae484c48ae31b584da8774df761894afbd8998a56840a4e9,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.072931,51.575124,On or near Lewis Gardens,E01001814,Hackney 001C,Bicycle theft,Status update unavailable,
f5450af04b7df69c81b45ac31b04afca9d74c2b28ae6e41e4478ea7b5c69ee58,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.072931,51.575124,On or near Lewis Gardens,E01001814,Hackney 001C,Bicycle theft,Status update unavailable,
411a0e77b5ba5c0cc1c0fb5987dc3ba2f69bc82685d3a03f122e3a34995a7f06,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.096194,51.570989,On or near Pedestrian Subway,E01001813,Hackney 002E,Bicycle theft,Investigation complete; no suspect identified,
e6e3a65035598dff124c11cbe01ddcbacd90956805374ff50f91b42dce064e34,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.093418,51.572841,On or near Woodberry Grove,E01001813,Hackney 002E,Bicycle theft,Status update unavailable,
0f6ec8e5413eb6f50c959f98485ffce234bdeddbf6064216445afd5109ccddb9,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.090674,51.572554,On or near Seven Sisters Road,E01033701,Hackney 002F,Bicycle theft,Status update unavailable,
564a0a78c61be48d204fd9480d072621626aaf3a549145909402d3281b3ebcc5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.095803,51.570677,On or near Pedestrian Subway,E01033701,Hackney 002F,Bicycle theft,Investigation complete; no suspect identified,
db93e7327b966dc91afdd399e05e333f5101610e1146a279ad2adf641296e9b8,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.095803,51.570677,On or near Pedestrian Subway,E01033701,Hackney 002F,Bicycle theft,Status update unavailable,
bfee589add3f046faa0addb384fe71b5e2ed496ce28a0d5b6196a3b5c5172f10,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.076704,51.570536,On or near Dunsmure Road,E01001799,Hackney 003A,Bicycle theft,Status update unavailable,
271ae128480b48fff2f36505fceb3728e5a6afe8fa4c823a7dcab0f98c0ae390,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.082247,51.567731,On or near St Kilda'S Road,E01001802,Hackney 003B,Bicycle theft,Status update unavailable,
a5c71261e569d502105784cd3984f54d67aee7e136b3d224f1a3dc3159a18f1e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.082247,51.567731,On or near St Kilda'S Road,E01001802,Hackney 003B,Bicycle theft,Status update unavailable,
