Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
4f4c6c970bcac042380f5fc103f56407af7c59da3064011edc5ea4a471474821,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.062435,51.604743,On or near Trulock Road,E01002036,Haringey 002A,Bicycle theft,Status update unavailable,
51e8eeded09369883cb67092833971ecb8ec4c1dd3de94cea5c8a115b3c9783b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.059457,51.605485,On or near Thornley Close,E01002036,Haringey 002A,Bicycle theft,Status update unavailable,
d8d8124488b4a795c2c6b295841b7fee8c888fce90f0c9ce44f46aca3bb0b32e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.058571,51.605596,On or near Copper Close,E01002037,Haringey 002B,Bicycle theft,Status update unavailable,
717cc788ddf4afafc38e1fc0820ac206e5f0c58f6a56b4f3a0b546ec632a59d7,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.116529,51.596775,On or near Station Road,E01002098,Haringey 007A,Bicycle theft,Investigation complete; no suspect identified,
e1322f4a170a1daea2561b7d5ae57681e4efe0c258130ccc6cda4a53189005f2,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.111868,51.601223,On or near Neville Place,E01002105,Haringey 007D,Bicycle theft,Investigation complete; no suspect identified,
ad66e8fa1a4ea44c078b7266527d3d399fb95685b1e48b8cd8351d5aa9db3bf3,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.071396,51.594324,On or near Champa Close,E01001979,Haringey 011D,Bicycle theft,Investigation complete; no suspect identified,
3924293a69a0357110cf70d52fb757ceaf610bf58f5215103c442beb2f178969,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.148982,51.597939,On or near Greenham Road,E01001996,Haringey 014C,Bicycle theft,Status update unavailable,
90561ebd303376ae8268c5307c0306933a6f9d047d136e92348ca90c9d2ddd14,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.060173,51.589032,On or near Parking Area,E01002080,Haringey 015D,Bicycle theft,Investigation complete; no suspect identified,
dcb6f42466b73e8f3c457d402b0c4b1a11bc036d4495e95cd2c4dcda48079046,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.060173,51.589032,On or near Parking Area,E01002080,Haringey 015D,Bicycle theft,Status update unavailable,
d3f01ae4638c0beeb0fb45d188b99bced06d416c570d97e333e6bab6a79f6f09,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.107953,51.594677,On or near Parking Area,E01002026,Haringey 016A,Bicycle theft,Investigation complete; no suspect identified,
