Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
801e44fa68977012924d25099f85332791502617866d9521a8531a10dffc232d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.407868,51.600360,On or near Ferndown,E01002483,Hillingdon 002D,Bicycle theft,Investigation complete; no suspect identified,
a2c1f1e895866c4d75e7f97aaac86f9736f8d736e4d41728107735fc00e73ada,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.413741,51.573112,On or near Parking Area,E01002470,Hillingdon 007D,Bicycle theft,Investigation complete; no suspect identified,
3d74d9c308a3f1849dd854cb84d3e7473c984020381cc28477ab20b66d2bb73a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.426528,51.576423,On or near Shopping Area,E01002535,Hillingdon 007E,Bicycle theft,Investigation complete; no suspect identified,
8f0f37749f890e922ed9cb1c79d4c50b8cae38fc0407748c558c21605463bfe8,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.396294,51.576427,On or near Parking Area,E01002417,Hillingdon 008B,Bicycle theft,Investigation complete; no suspect identified,
a982893c842f48f4057c13e5e9c44782d2c823748f2ce348981b2fb9a8275db2,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.411699,51.572932,On or near Linden Close,E01002471,Hillingdon 008E,Bicycle theft,Investigation complete; no suspect identified,
34fa4ef0e4697f3ebe851aa5151f91751c42f2bc1cba5c0d73adcdf7e5691554,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.435178,51.571647,On or near Harwell Close,E01002536,Hillingdon 009D,Bicycle theft,Investigation complete; no suspect identified,
3fd10c3acbe988594b7eafd19ebd62a79aa5be67b68da41bf0c1d908365a4fff,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.448500,51.554163,On or near A40,E01002463,Hillingdon 013B,Bicycle theft,Investigation complete; no suspect identified,
5d7fc89300f989478de2d8fb096db5793966a31c61ec06abdfb98ddccb621c53,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.472856,51.532838,On or near Further/Higher Educational Building,E01002414,Hillingdon 015A,Bicycle theft,Status update unavailable,
4d407547280b2da656bde79eab0bc393dee747014f7317ee0c3e34083cbeda6f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.472856,51.532838,On or near Further/Higher Educational Building,E01002414,Hillingdon 015A,Bicycle theft,Investigation complete; no suspect identified,
963996f7dca0821ee221eaa67f1965f37bb1dd3b909e6ba04cd3293a3b5b091d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.472856,51.532838,On or near Further/Higher Educational Building,E01002414,Hillingdon 015A,Bicycle theft,Status update unavailable,
a787ad1d2570ee58d66e80b5b1366b15e34758887bc0f4071c27b15eb09248cd,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.472856,51.532838,On or near Further/Higher Educational Building,E01002414,Hillingdon 015A,Bicycle theft,Offender given a caution,
b8d6cbdebd5a78a61931093b237e3646bd8a08b19e32902fd84dcb401a5daf34,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.483077,51.550659,On or near Sanderson Road,E01002514,Hillingdon 015C,Bicycle theft,Investigation complete; no suspect identified,
cdb3489a374d3a7e85bf4830d0693ffecaa7cc4be3ec5760c0856d9bfda5c95b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.480850,51.549083,On or near Police Station,E01002514,Hillingdon 015C,Bicycle theft,Investigation complete; no suspect identified,
504208bbe69ea7235b096937c8ecd8a3de7835ca735dbc5638ced7cd1e2966be,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.469124,51.549947,On or near Further/Higher Educational Building,E01002515,Hillingdon 015D,Bicycle theft,Investigation complete; no suspect identified,
80edfc9d5d5d4f862d25f28b63f4d078c4c01088e6de8d37d090a9b9ec8d973c,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.475559,51.545148,On or near Shopping Area,E01002515,Hillingdon 015D,Bicycle theft,Investigation complete; no suspect identified,
3a0444c1f9473561247d328de6c2a41517f0840a7dd5026ddbc1789dd3bc8803,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.480202,51.537808,On or near Kew Close,E01033725,Hillingdon 015F,Bicycle theft,Status update unavailable,
26d0291663cdf67602fd3f82d172e8d0b4a05c35dbe0988a6856cd3ef743de87,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.447711,51.529037,On or near Chiltern Court,E01002410,Hillingdon 017A,Bicycle theft,Investigation complete; no suspect identified,
4fa65aa983191abaa850367b6b2e403b548df6027eee9accc87e70d4a5e381ef,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.461381,51.528076,On or near Arklay Close,E01002412,Hillingdon 017B,Bicycle theft,Status update unavailable,
c10ff567e082bc64937c0d772283b735e8b12075d8a4d5f128dcd470e2e4905d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.457567,51.537287,On or near Attle Close,E01002509,Hillingdon 017D,Bicycle theft,Status update unavailable,
7434d4d5be808e2fb28f7719d6f8ccc5af8ffbe35ade637460ae3d731e5ed753,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.416604,51.527669,On or near Pine Place,E01002424,Hillingdon 018C,Bicycle theft,Investigation complete; no suspect identified,
048f3fbc4fd81aaf0121c4894ac01e1e69615dda751d06a1480de0d92263b47f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.444589,51.527998,On or near Nellgrove Road,E01002408,Hillingdon 019A,Bicycle theft,Investigation complete; no suspect identified,
ad41675b956821ed58f25aeca2221759b6aecad41640ff17f3f8bf982a5c8118,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.407493,51.520244,On or near Cheddar Waye,E01002399,Hillingdon 021E,Bicycle theft,Investigation complete; no suspect identified,
a430f45e5cc3977b8389e423910164925f86906778ce602d7a788590e10a878c,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.472430,51.510227,On or near Parking Area,E01002554,Hillingdon 022F,Bicycle theft,Status update unavailable,
8b0349b70e161ee05db53c9587e4e08d7587d458123b4a1dda8dcff755779601,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.477359,51.512800,On or near Peplow Close,E01002554,Hillingdon 022F,Bicycle theft,Status update unavailable,
364e24b0f886babdbc0f187ea4cfa560063ceb7db03f2cdf26104738d3a1e471,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.472430,51.510227,On or near Parking Area,E01002554,Hillingdon 022F,Bicycle theft,Status update unavailable,
eaaba1d5f2e78df66c483d094c6a9610ce401b5e6d6de80aafdbea3fdf61b3c4,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.441198,51.509510,On or near Furzeground Way,E01002405,Hillingdon 027A,Bicycle theft,Status update unavailable,
05ac60223f0f97d5a875e8c7ce0c5097caff4e1d7e28deae498428538fd44be2,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.429823,51.514700,On or near Egan Way,E01002405,Hillingdon 027A,Bicycle theft,Investigation complete; no suspect identified,
413846034c60ea66ebc5e286de0283c1123477aeee3519e5f049a345cabd0391,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.424656,51.509892,On or near Rostrever Gardens,E01002405,Hillingdon 027A,Bicycle theft,Status update unavailable,
a18ec5569f84a54a2568364aff5d28e156e234ec7fb85698ba0a56835e924dba,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.419327,51.509406,On or near Parking Area,E01002406,Hillingdon 027B,Bicycle theft,Court result unavailable,
52588fdf04be8bd49757469e515a16cb3ceea52b501195c69b031e0f02e1fb4a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.418931,51.517107,On or near Church Road,E01002504,Hillingdon 027D,Bicycle theft,Status update unavailable,
4baeff564f3c5c7e77bd28c6905b1eaa92b40cb15c21733d2458f48bb283fba1,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.417975,51.506007,On or near Crown Close,E01002506,Hillingdon 027E,Bicycle theft,Investigation complete; no suspect identified,
63b690ae7ce518dcecc5a5296c703373ba0134f2d5b5964633099a11c9e45b51,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.439741,51.501982,On or near Glamis Crescent,E01002486,Hillingdon 028A,Bicycle theft,Status update unavailable,
05e8733bb8677cc9dee17b977119aec08f5b0191e48cd9bcfa1ee6c2cd967142,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.437043,51.497864,On or near Pinkwell Lane,E01002486,Hillingdon 028A,Bicycle theft,Investigation complete; no suspect identified,
0490b68ff98c3ab52aa65a54eda4d3e5b6cae8b3376a2365c27b9e946560149e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.470917,51.504641,On or near Bagley Close,E01002525,Hillingdon 029B,Bicycle theft,Investigation complete; no suspect identified,
d5ae83195335766394362409903f9b7ad96180a2b12086177660fe9d6b6536c0,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.472275,51.508408,On or near Cherry Orchard,E01002529,Hillingdon 029C,Bicycle theft,Investigation complete; no suspect identified,
2973b64826ab5e67cb02d7be93d3283255a741beeb3d15707cb59e49b85e0649,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.420641,51.503903,On or near Parking Area,E01002407,Hillingdon 030A,Bicycle theft,Status update unavailable,
38371bab14d31fe3045a3960790c65df0369c173e4e4698f50bd1dec7e46ec8e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.413716,51.498351,On or near Sutherland Avenue,E01002407,Hillingdon 030A,Bicycle theft,Investigation complete; no suspect identified,
f181813dc3e22ede4919dcef1bab579d019079560a36e3301ba3e6113e629c4a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.420423,51.503558,On or near Pedestrian Subway,E01002407,Hillingdon 030A,Bicycle theft,Status update unavailable,
3909df8038bcbc65356ccf870473992ccb6406a2bf168de0eaf03b138ad014e3,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.429206,51.496590,On or near Clement Gardens,E01002490,Hillingdon 030D,Bicycle theft,Investigation complete; no suspect identified,
adf636ba3a9c95f34db09c36ad690109e9d2168e82fed4c64603940de12db1a3,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.428713,51.498382,On or near Copthorne Mews,E01002490,Hillingdon 030D,Bicycle theft,Status update unavailable,
fa307509369370191ebda4fcccfbf80abf4e88b3da7e896fd095b006c5ad5ba9,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.420462,51.466996,On or near Dick Turpin Way,E01002443,Hillingdon 032A,Bicycle theft,Investigation complete; no suspect identified,
f9fee829fbf691b38f6044c4f84064c27744ed07749d5fb782819ed3a569620b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.424679,51.481647,On or near Malvern Road,E01002443,Hillingdon 032A,Bicycle theft,Status update unavailable,
8e03d124af269644010aed421c367ca1d23171e763acef95e221136581b47152,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.393760,51.557014,On or near Sports/Recreation Area,E01002498,Hillingdon 033C,Bicycle theft,Investigation complete; no suspect identified,
e87a769b578e6345af2785514879c2bda30725231944865ac69fca34877f8b0f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.389104,51.561411,On or near Monks Close,E01032577,Hillingdon 033E,Bicycle theft,Investigation complete; no suspect identified,
86cc47f5c026ed8cf07c6d2845867f2532960e8c1fc799ff9edce392d249cd07,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.444563,51.614169,On or near Hospital,E01002475,Hillingdon 001B,Bicycle theft,Investigation complete; no suspect identified,
af37492e8e010783ce9e6f674da429fd923d1a735eb20dad7ad586b8ca32d796,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.424704,51.611647,On or near Green Lane,E01002478,Hillingdon 002C,Bicycle theft,Status update unavailable,
