Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
e5930dba60e15ecb052db1a455f85a64e58fa1a5d1dacad197b659cfb080c7fb,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.255202,51.491783,On or near Annandale Road,E01002570,Hounslow 001B,Bicycle theft,Investigation complete; no suspect identified,
72436fde673982b0f1609ce501ff0a34e905cbd912a55f65f429c6b7f7cd9b37,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.251634,51.493907,On or near Upham Park Road,E01002573,Hounslow 001C,Bicycle theft,Status update unavailable,
df8fb8325dd137f8b53870d5bd96e6fe72a3aeea6023990fcc200b6bc60b04bb,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.255392,51.495860,On or near The Avenue,E01002573,Hounslow 001C,Bicycle theft,Investigation complete; no suspect identified,
4ce5849bd273b94ecf641c002b4f72924a985352c25aa9c9439a8d73da562fd7,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.305814,51.495466,On or near Carlyle Road,E01002564,Hounslow 003B,Bicycle theft,Status update unavailable,
e63566817229fa8d0d504c02de737e3fdd8043dcdc3d89ba5210b6e54c45edcb,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.298673,51.486838,On or near Walnut Tree Road,E01002568,Hounslow 003D,Bicycle theft,Status update unavailable,
93713d6b7f064dc3c82827a3ceffcef2a11435524d5bc69afb07d55dc7c00efd,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.302565,51.490239,On or near Shopping Area,E01002568,Hounslow 003D,Bicycle theft,Investigation complete; no suspect identified,
80887a09988c4412ac7fb51c237b3e0f1028925898394948a2d3513498fcab2f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.301024,51.483653,On or near Soaphouse Lane,E01033081,Hounslow 003F,Bicycle theft,Investigation complete; no suspect identified,
70bb927f19513060dee6a32631fa8749ca7738c301fa7f7971e623b4a9aacf72,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.301402,51.485484,On or near Wilkes Road,E01033081,Hounslow 003F,Bicycle theft,Investigation complete; no suspect identified,
19d94c4231ffa6cee64ba6e9bd9b897bcc30977f7c3c9979523e766866f7917a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.311349,51.489548,On or near Boston Park Road,E01002565,Hounslow 006B,Bicycle theft,Investigation complete; no suspect identified,
5b7ee36eeff89297f79d9b3913994f0c78fdf6f8842ac086fb0364b3bcb72a66,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.306016,51.487295,On or near Clifden Road,E01002567,Hounslow 006C,Bicycle theft,Investigation complete; no suspect identified,
