Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
93e95b21f0479be4080bad95a9f2b9b58829c7c07edd5f1ece2f7a20558c02c2,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.129669,51.570727,On or near Pilgrims Way,E01002759,Islington 002D,Bicycle theft,Investigation complete; no suspect identified,
23d299b6123f144336d32de96e47da7a72bccfbe62f0c4eff5c9313fc328c8f8,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.130137,51.565303,On or near St John'S Villas,E01002772,Islington 002F,Bicycle theft,Status update unavailable,
a18dc7d630e4a0d5807e4aa8186486571729fcf966fe013bffc00c057059099f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.131228,51.565788,On or near Elthorne Road,E01002772,Islington 002F,Bicycle theft,Investigation complete; no suspect identified,
1850962a080e57537057b8554866ed385e98ffdde6552788b319afc539aefcdf,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.107950,51.565208,On or near Wells Terrace,E01002735,Islington 003A,Bicycle theft,Investigation complete; no suspect identified,
0432d8567491bbcf7044a15f7ae75ca86477867fd43b797c12b6bec42fd9a653,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.110072,51.566564,On or near Woodfall Road,E01002735,Islington 003A,Bicycle theft,Status update unavailable,
28c8d27937469e43251bb14b7a9adab9e352d7673dd99f9be43045545c31eb4c,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.112359,51.569191,On or near Supermarket,E01002805,Islington 003B,Bicycle theft,Investigation complete; no suspect identified,
76b957bd1785e64f8568db366a4e1b3b58c3dd68586c097b52ad7f117e83aad5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.115166,51.570738,On or near Mount Pleasant Crescent,E01002805,Islington 003B,Bicycle theft,Investigation complete; no suspect identified,
b9f3681ca68f2ad8c0802c035d0794f6510a390d1c4928b724b18394a0ea10a8,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.137644,51.557437,On or near Fulbrook Mews,E01002768,Islington 004A,Bicycle theft,Status update unavailable,
22993eb6b7099c22756d5cbb2dd636cdb4087dcca0feb3b0307a4710a97d5d5c,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.138659,51.567552,On or near Highgate Hill,E01002770,Islington 004B,Bicycle theft,Investigation complete; no suspect identified,
d670264685b30341d923cb42e851422f0b341647c2b923ce87bee39fc44e1c74,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.138175,51.566681,On or near Hospital,E01002770,Islington 004B,Bicycle theft,Offender given conditional discharge,
32c0ff8e4c7747da6769fef100083bef572bd15a1744ebf6470123813d7a484f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.133430,51.563098,On or near St John'S Grove,E01002774,Islington 004E,Bicycle theft,Status update unavailable,
4299fde0b7172191f18cfe2689f42b38c998934e7036be9945bfd93019b0a8dd,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.109785,51.562702,On or near Pooles Park,E01002734,Islington 005B,Bicycle theft,Investigation complete; no suspect identified,
79e3806f24e6c621796ac59084e98aa704ea81fd1712084aa811880362d52059,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.105566,51.564585,On or near Station Place,E01002734,Islington 005B,Bicycle theft,Investigation complete; no suspect identified,
378f3feb4e88c35c6ef4557d24fb5341464cf1de79e012a64db3c7042abe965e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.105566,51.564585,On or near Station Place,E01002734,Islington 005B,Bicycle theft,Investigation complete; no suspect identified,
9ec30f3264b8a1541c5b0ece9d42f30cde187eeb0071c520db239c6b66140c21,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.109781,51.564204,On or near Biggerstaff Street,E01002734,Islington 005B,Bicycle theft,Investigation complete; no suspect identified,
be0ce04f76e6e366fb6bbcf0d7116297417cfe995434d514ad0fda13bdfb90a7,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.113106,51.564032,On or near Woodbridge Close,E01002736,Islington 005C,Bicycle theft,Status update unavailable,
351fea56c127a3627908f74434ad7e4745f4636be997243c989f287f222a6ed2,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.115697,51.564883,On or near Tollington Place,E01002737,Islington 005D,Bicycle theft,Investigation complete; no suspect identified,
d60ad8c3c7500192c85b0b452b61535ce1b14568deabc1afc0bbd917659b275c,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.105436,51.563900,On or near A1201,E01002748,Islington 006C,Bicycle theft,Investigation complete; no suspect identified,
8fa21eba50537a35a10c77c2d0e4f14c9f450f5d0d952f250ffe4fb37cb6a2a6,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.105436,51.563900,On or near A1201,E01002748,Islington 006C,Bicycle theft,Investigation complete; no suspect identified,
666ac3d06652192aa41d2ce0eb782c6de9a89ca99c4b788a9b5c64704e70c596,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.101917,51.557971,On or near Avenell Road,E01002749,Islington 006D,Bicycle theft,Status update unavailable,
f0bc36b6e38df600721a71ca24b36731e7e627f9921f41bfcf9cfbb9edf4b148,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.112893,51.560126,On or near Thane Villas,E01002730,Islington 007A,Bicycle theft,Status update unavailable,
55e019cefd239e7cc63b6bb017281593dded6cd600069f217e5b34b220d5a856,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.118218,51.558341,On or near Shopping Area,E01002731,Islington 007B,Bicycle theft,Status update unavailable,
0020367e6add9a85aea4a5a14e64aa692a3eb153044a0c1a9bf811c4cfd7e51d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.132570,51.558400,On or near Campdale Road,E01002769,Islington 008A,Bicycle theft,Investigation complete; no suspect identified,
689f19dc4d2a48872d9359ee16ff2ce8f9fb3e42dd0dc4fe1514af1a8a48228e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.134019,51.557874,On or near Sports/Recreation Area,E01002769,Islington 008A,Bicycle theft,Investigation complete; no suspect identified,
e8b8d7e190494aa673864ca149e94961c611a6a60fa74a47a5c811889d6b4a57,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.129053,51.560781,On or near Yerbury Road,E01002769,Islington 008A,Bicycle theft,Status update unavailable,
041e71e465d6411d38367bec6c4745f82eadc00f4d77b83cde31c43fa8ee117b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.129053,51.560781,On or near Yerbury Road,E01002769,Islington 008A,Bicycle theft,Status update unavailable,
c66a8b04c1ce5150e120e80e32a700f50100e5239523802f5f53c5b50f85ba39,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.122754,51.559943,On or near Holloway Road,E01002785,Islington 008B,Bicycle theft,Investigation complete; no suspect identified,
d112e4a147281ca3987481eb645a9641709c6aaf79ba7539d2cc015908a9908e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.125362,51.559670,On or near Highwood Road,E01002785,Islington 008B,Bicycle theft,Investigation complete; no suspect identified,
8356b93546ed8a06b9ecde386d4b72f38929394b46d26e2af4778dc4f21a8bc9,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.127542,51.558571,On or near Mercers Road,E01002785,Islington 008B,Bicycle theft,Status update unavailable,
dcff64bbaea84e44f15832ac55fcdad65410b9c828ab55d80ea07bacc3c67e81,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.126982,51.559579,On or near Yerbury Road,E01002785,Islington 008B,Bicycle theft,Status update unavailable,
0f0f29594add5286df14fea4738247f1c6f5ed2484cee1169df0a761de1856ba,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.127666,51.555921,On or near Carleton Road,E01002788,Islington 008C,Bicycle theft,Status update unavailable,
189de59652c771a3c3d128e6984a4a63a19966fca8d4c015614f1d2c200c0a6e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.134257,51.555954,On or near Corinne Road,E01002789,Islington 008D,Bicycle theft,Status update unavailable,
8267da68f803c4786c672eabb232be6302b9e773249398d8ae795772a6b9c9c5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.097107,51.553289,On or near Kelvin Road,E01002738,Islington 009A,Bicycle theft,Investigation complete; no suspect identified,
e140533d81edfa2ca4e203e907f58b919f17fb647c918dadaa0f13f56144535d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.095001,51.555008,On or near Aberdeen Road,E01002744,Islington 009D,Bicycle theft,Status update unavailable,
dae71d2fe630944be33df9a9c3dea4133ce7c3c4b10d090e3f02f57500892f8a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.132666,51.553932,On or near Pleshey Road,E01002784,Islington 010C,Bicycle theft,Status update unavailable,
b6b5fd234054e76493c8dc3cf44583cb6c5a026002de986669bb1b0b29538ee5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.125875,51.555613,On or near Bakers Field,E01002787,Islington 010E,Bicycle theft,Status update unavailable,
ac88539f2496e766d34154234ccb953468c5b1c62384ef6db22ed3c9c2eb59c1,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.111683,51.552769,On or near Rollit Street,E01033491,Islington 011H,Bicycle theft,Local resolution,
030f32c476d9a49f2aeb8d6c0b99ca9167d9dd860795f6976051f94fb70c9a17,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.110157,51.550955,On or near Liverpool Road,E01033491,Islington 011H,Bicycle theft,Status update unavailable,
8b19958d30df13796d4e9f7ade481147bef1758eae0bae954e27e559352fd163,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.083363,51.550808,On or near Auriga Mews,E01002777,Islington 012A,Bicycle theft,Investigation complete; no suspect identified,
d732c52ae6fa443d04dce39165a01d5b04ee8a137b8ea4a344b7e30268ab2cde,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.101904,51.546163,On or near St Paul'S Road,E01002740,Islington 013B,Bicycle theft,Investigation complete; no suspect identified,
17e7135e76471f7302df13cf96fa14dad24a16c62b8d747993792b6af1de225e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.104835,51.548171,On or near Highbury Crescent,E01002740,Islington 013B,Bicycle theft,Investigation complete; no suspect identified,
210a10c7104d73a8e0d352a66b54b6d0c5f54bcdb4fecb73b33df971e23a34fa,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.104835,51.548171,On or near Highbury Crescent,E01002740,Islington 013B,Bicycle theft,Investigation complete; no suspect identified,
fb5b0ef42db4129fa64b798151b85fcfa21e00f13e7e2dc6b8293caa59be165f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.103990,51.545586,On or near Swan Yard,E01002795,Islington 013D,Bicycle theft,Status update unavailable,
60c05c78198946f63664fc34e3d253acb9185c15c4dff07e790b3e66fe85cc36,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.104209,51.546560,On or near Nightclub,E01002795,Islington 013D,Bicycle theft,Status update unavailable,
45d299b689760f23d0de13a31aa5f2bb2e4502aab53d24b46df74456ff75dd91,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.110661,51.547492,On or near Crossley Street,E01002796,Islington 013E,Bicycle theft,Investigation complete; no suspect identified,
