Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
c504ea1a86c064e823803e432e474d4430b30cd2fb5692a4e0c6a2326478e1c0,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.201473,51.436810,On or near Melrose Avenue,E01003473,Merton 001B,Bicycle theft,Status update unavailable,
1440fc523d25edd20f47ce5ddd463a3410c8acbf3668c979288ed426c3fa6611,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.200082,51.419487,On or near Further/Higher Educational Building,E01003456,Merton 003C,Bicycle theft,Status update unavailable,
28ea9227d1ae73e97f01115569be09822ce49775639835c1a637b555beb5ea73,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.208445,51.421135,On or near Shopping Area,E01003401,Merton 004A,Bicycle theft,Investigation complete; no suspect identified,
5dc4e23ae3b5fe2d027797e097b2fa7722e153699f83276ca51144d9098610dd,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.208445,51.421135,On or near Shopping Area,E01003401,Merton 004A,Bicycle theft,Offender otherwise dealt with,
4232f134dc0f3138a9d58f161f6715d96300d14f37568a40bd266e4269a94574,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.209491,51.420872,On or near Shopping Area,E01003402,Merton 004B,Bicycle theft,Status update unavailable,
7a0f970335d0ef91ea263a3e3f2f8618fb641bf76a4b2e2eea1d53a273087324,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.207379,51.421181,On or near Wimbledon Bridge,E01003402,Merton 004B,Bicycle theft,Court result unavailable,
c3f0e6af04777db6c64a634eb5600dcaa474128dc35c137343f1d84202cf27fc,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.207379,51.421181,On or near Wimbledon Bridge,E01003402,Merton 004B,Bicycle theft,Investigation complete; no suspect identified,
e37a62060dc8ad4017fa70176d283755ee1463f1ed80416a7d98efa484da73e7,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.219966,51.420771,On or near Corbiere Court,E01003403,Merton 004C,Bicycle theft,Investigation complete; no suspect identified,
4eb0aacab23f2a2cf511afd5f8c8328f5e6bfff1de59e929a04d9e459b51f869,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.215699,51.419168,On or near Denmark Avenue,E01003403,Merton 004C,Bicycle theft,Investigation complete; no suspect identified,
023f70c75c407e15119f35b72ebd4c25a69380c79efb7b3bfed57dc116d3227e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.216521,51.426141,On or near Belvedere Square,E01003461,Merton 004E,Bicycle theft,Status update unavailable,
1ba9599c4002e46c966e00e07e044e57bf515d12ac236bd69760795b9f9ffa9b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.177087,51.417980,On or near Valley Gardens,E01003367,Merton 005A,Bicycle theft,Investigation complete; no suspect identified,
cd8d74abcd8e54d345f765b3e20c08342898cdb1df68f2e391be8a78317d3696,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.177043,51.420525,On or near University Road,E01003369,Merton 005B,Bicycle theft,Investigation complete; no suspect identified,
fb1dcb3bdcc242b5d116f3aaba91fee9bea1dc3a56470fba6f2b18def92de76e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.183748,51.417185,On or near Laburnum Road,E01003359,Merton 006A,Bicycle theft,Status update unavailable,
3d45ccabb917611287778401e936983adba1255f51434b983555166c1412109e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.192488,51.419856,On or near Latimer Road,E01003458,Merton 006D,Bicycle theft,Investigation complete; no suspect identified,
76b52384dbc319f9f837b0b6240fad36c50bd91cd15c60ed8bd422d85b29ee77,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.187248,51.419973,On or near Haccombe Road,E01003459,Merton 006E,Bicycle theft,Investigation complete; no suspect identified,
98c015e523ea5ff790a3b27242e23344a9b2dbfb130b7ba0ffdeb2b725288eea,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.159271,51.419321,On or near Stanley Gardens,E01003393,Merton 008C,Bicycle theft,Status update unavailable,
b0d440915861ba8b8d7750496839d2604535f2aaed01e4b35487b980a985fb52,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.206557,51.420881,On or near Wimbledon Bridge,E01003383,Merton 009D,Bicycle theft,Status update unavailable,
47efa9ddd4fead03f801cf43e21b2e50c0114c3476ce0f89f6136a9db93eaf46,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.206665,51.418841,On or near Beulah Road,E01003383,Merton 009D,Bicycle theft,Investigation complete; no suspect identified,
59187e566dc7ed5122bf1b3122f103184ea4c930be0136d875f6451dd9703627,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.205514,51.419597,On or near Hartfield Road,E01003383,Merton 009D,Bicycle theft,Status update unavailable,
9cc929bf0d996496a9963e2597be48bf11978e57f40df01a3a3b4a5b3fdcf110,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.206557,51.420881,On or near Wimbledon Bridge,E01003383,Merton 009D,Bicycle theft,Status update unavailable,
f4b765bc7a74d31115396f0d2b3cd13565f9e3e6a13c62df9b185b8f5239d754,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.206557,51.420881,On or near Wimbledon Bridge,E01003383,Merton 009D,Bicycle theft,Status update unavailable,
803947549472edc8a6b5474a1c8ea7de2fe29dd4a1a7d41e9e1f82b51d56c300,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.239648,51.410106,On or near Sports/Recreation Area,E01003445,Merton 010D,Bicycle theft,Status update unavailable,
