Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
793fc1430a2d49887d22e63e5f695deb31c332561324dc8d867139d73897a716,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.085862,51.603766,On or near Bernards Close,E01003702,Redbridge 006E,Bicycle theft,Investigation complete; no suspect identified,
c890676a9eb712c6bca669f72c536ff3550dab2cfed4b8a6b2f0cea5339e364f,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.093600,51.604033,On or near New North Road,E01003702,Redbridge 006E,Bicycle theft,Offender given a caution,
2499035eb9c038c27f37dcf4760a64a178be591e90cba8092a9e18a6fdae44df,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.027175,51.592141,On or near Station Approach,E01003668,Redbridge 007A,Bicycle theft,Investigation complete; no suspect identified,
3a082c553d3b66864602b586b45a76902dceba05c3ab7f2db27d33813aa23803,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.042910,51.594989,On or near Lechmere Avenue,E01003763,Redbridge 009E,Bicycle theft,Status update unavailable,
4c0242c0ff516be46ea5331344e470d9d2ab0d0f2e2dea83122053b2d2191bbd,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.088331,51.585826,On or near Parking Area,E01003639,Redbridge 013A,Bicycle theft,Investigation complete; no suspect identified,
e20ea4838a941ed972e143ae10fb11428ff7e0ae08074c10cd0b754a81893ac2,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.066475,51.576573,On or near Pedestrian Subway,E01003647,Redbridge 015A,Bicycle theft,Investigation complete; no suspect identified,
1fac95f3ed1f7fc96620482bf97c13496121d1987935c220d225162e6e69a79f,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.111934,51.566537,On or near Supermarket,E01003769,Redbridge 022A,Bicycle theft,Status update unavailable,
1d3552ca33b09b6abac9caa8ecaac072909897aed978c015832f199717a640da,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.117996,51.571230,On or near Christie Gardens,E01003770,Redbridge 022B,Bicycle theft,Status update unavailable,
f2c4513d48b92cb3b0235e1d7123ee38e601a9bb98e2cbdc59b387f671a8e5ec,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.076399,51.568215,On or near Auckland Road,E01003786,Redbridge 026C,Bicycle theft,Investigation complete; no suspect identified,
b32235daaad63d0cc6c1fef4f0e4badb5624ab0ad9b499daeeee374dda14ed30,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.075016,51.565433,On or near Coventry Road,E01003787,Redbridge 026D,Bicycle theft,Status update unavailable,
26f96e72f441fd64d369f0dadf7a6cafe0909381ccefe7eb96803ff71d0af2cd,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.067299,51.563573,On or near Cranbrook Road,E01003788,Redbridge 029D,Bicycle theft,Investigation complete; no suspect identified,
a84e22e24cd3f0c8ae2d6af0526c6ce959474871cc26d7f7f003bfdb1ee5826b,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.067299,51.563573,On or near Cranbrook Road,E01003788,Redbridge 029D,Bicycle theft,Investigation complete; no suspect identified,
fe27599b4ce9e6aad8999a764ffe3813b837ad79d4c0aa637191ff898bade26a,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.076334,51.558243,On or near Winston Way,E01003688,Redbridge 030F,Bicycle theft,Investigation complete; no suspect identified,
39df0354d3695c9d71a3367ad2006da9df1ad99442f6261f110c00f55b8b0394,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.076334,51.558243,On or near Winston Way,E01003688,Redbridge 030F,Bicycle theft,Investigation complete; no suspect identified,
6d43c469e495a416600f18459aa53b6e8962fcf0ff5f3a63d547e1fca6acb6dd,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.076334,51.558243,On or near Winston Way,E01003688,Redbridge 030F,Bicycle theft,Status update unavailable,
79082e84252e584ef381fc0ff68dc17f7057d2c4ad555b5767b5f0ccb906a875,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.072532,51.559038,On or near Shopping Area,E01003689,Redbridge 030G,Bicycle theft,Investigation complete; no suspect identified,
8079acabd9ddfcbda5936a25c07ce28181fe6fb44aa13a7c376f9a3292cf4fca,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.072855,51.558520,On or near Postway Mews,E01003689,Redbridge 030G,Bicycle theft,Investigation complete; no suspect identified,
617e34d5d63c27ee1879f04bebd09f2cd8b8e2a566588ad92f805a74a674e2c9,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.072112,51.558983,On or near Shopping Area,E01003689,Redbridge 030G,Bicycle theft,Investigation complete; no suspect identified,
eab9e85aa551c2b0da82d1cb37a02bdcb55c3fc28d54978112f69c9fe2f712c7,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.072855,51.558520,On or near Postway Mews,E01003689,Redbridge 030G,Bicycle theft,Investigation complete; no suspect identified,
4f681750b996e4cb4ff7a0cfe65aa83db02c0cdd4d70db9b087bdcc29f46eb8d,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.105872,51.551215,On or near Abinger Close,E01003738,Redbridge 031B,Bicycle theft,Status update unavailable,
415e409d28c985821ba83fc57bb5c835d81d093b56f9115a4d0fdb7f1149f0b8,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.095844,51.563373,On or near Swindon Close,E01003714,Redbridge 034B,Bicycle theft,Investigation complete; no suspect identified,
1dc44189ef123416474a69d21990317c3c8a531479def21416762dae92bfb8e0,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.034286,51.607495,On or near Pedestrian Subway,E01003748,Redbridge 001E,Bicycle theft,Status update unavailable,
794dc31171423239e4d02270ebf4df26e007e5caf95eec4c6d9228d5aa296efe,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.116301,51.609606,On or near Harbourer Close,E01003722,Redbridge 002B,Bicycle theft,Investigation complete; no suspect identified,
8d6c5619cf3cb78992a192f8550ebf28b6c332d0d96b87c02a8f9a45dbf58a9b,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.093600,51.604033,On or near New North Road,E01003702,Redbridge 006E,Bicycle theft,Investigation complete; no suspect identified,
6f6a545d2debe0889a43df29b509e64549ebf91397c00304cacd8269ba47ba27,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.062319,51.591583,On or near Clayhall Avenue,E01003707,Redbridge 008A,Bicycle theft,Status update unavailable,
71e42c97778f1b7fd3d8eeace813c52fe0267ff19f14533d67e540df90b6a9d6,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.019110,51.579898,On or near Forest Close,E01003778,Redbridge 014E,Bicycle theft,Investigation complete; no suspect identified,
421de9ee14be38a45eab57a02841e7609f4035568a55b931bcc4e45589eccdbb,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.019110,51.579898,On or near Forest Close,E01003778,Redbridge 014E,Bicycle theft,Investigation complete; no suspect identified,
d2218bfa0a82891e6064b6060d69160316309bf787fe9b9b5af522b91c373148,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.029005,51.575527,On or near Parking Area,E01003789,Redbridge 018A,Bicycle theft,Investigation complete; no suspect identified,
2de9edc67b26f125e5471da20b80d00756379f60bdc1e25259303b3554364155,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.111934,51.566537,On or near Supermarket,E01003769,Redbridge 022A,Bicycle theft,Status update unavailable,
8ec13d4fa692ed2f5f19323157f715e95c1013bd4df40e37662896514bd4c945,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.076334,51.558243,On or near Winston Way,E01003688,Redbridge 030F,Bicycle theft,Investigation complete; no suspect identified,
487fce795dda13d9274a06c0fa5078e0bbd995cfe4d857cca18dd89c233c059c,2016-11,Metropolitan Police Service,Metropolitan Police Service,0.072112,51.558983,On or near Shopping Area,E01003689,Redbridge 030G,Bicycle theft,Investigation complete; no suspect identified,
