Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
7cf6c551631d8e6cbeb25647a587596a0dcc4d885557b985e339fbb3428cb4a2,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.242689,51.480419,On or near Atherton Road,E01003797,Richmond upon Thames 001A,Bicycle theft,Investigation complete; no suspect identified,
13c3f163676198e21ad35245bdee52f0efe3fe6da70e2f65309db282681c8096,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.249256,51.474762,On or near Lyric Road,E01003798,Richmond upon Thames 001B,Bicycle theft,Investigation complete; no suspect identified,
ec6dd057e96eccf819491acd11596fbed20ef344331b5359b1659c8f4f21e6a2,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.249256,51.474762,On or near Lyric Road,E01003798,Richmond upon Thames 001B,Bicycle theft,Status update unavailable,
dd45893f4ce440f0ac93f7f7743c970078e782bcaa75fb67f90e139fddab122b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.282443,51.482168,On or near Forest Road,E01003851,Richmond upon Thames 002D,Bicycle theft,Investigation complete; no suspect identified,
84781d932f2caef935991efb13de79079d5fe2cf9064aacfe27081ef3b2a42ec,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.308066,51.463827,On or near Twickenham Road,E01003860,Richmond upon Thames 002E,Bicycle theft,Investigation complete; no suspect identified,
36bac35058fee7b815d68646e8789daf70519bf2c5dd9306698cff35bfb25a44,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.292145,51.467266,On or near Castlegate,E01003864,Richmond upon Thames 002F,Bicycle theft,Offender given a caution,
1af512bf906198b3b5c4a63a8839a521a5e55ff3a012ec4a71d20f80fec04e58,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.237804,51.465158,On or near Beloe Close,E01003852,Richmond upon Thames 003A,Bicycle theft,Status update unavailable,
7bd774f7025c04302405c1e396fa021a6a0f4c8ea14d3b5de8dfd5f4da7ff1e1,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.249947,51.472506,On or near Grove Road,E01003854,Richmond upon Thames 003C,Bicycle theft,Status update unavailable,
f825b5f855193a1e4472aa65029a8f8a2522863c23137abc79ede0012e6d0e5f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.267416,51.468243,On or near Parking Area,E01003855,Richmond upon Thames 003D,Bicycle theft,Status update unavailable,
051dc7bcc634218e10737b27d5cf54c2cea58a890f5e7d60fc4ff22e056494c0,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.254443,51.468275,On or near White Hart Lane,E01003857,Richmond upon Thames 003F,Bicycle theft,Investigation complete; no suspect identified,
5caf9382c6cad7215559ba6899e8096e686946f4699c9504beeea8c052968b93,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.252310,51.469089,On or near Westfields Avenue,E01003857,Richmond upon Thames 003F,Bicycle theft,Status update unavailable,
9da29291346621681286e987d7556a128c168e8a00293d82fb6eec7ce2a37ca1,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.249014,51.469804,On or near Pedestrian Subway,E01003857,Richmond upon Thames 003F,Bicycle theft,Status update unavailable,
dc7dda606c9e83e14ee896609f7acd5c15ae52031089cfa02113c99f96a3f186,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.252564,51.465819,On or near Priests Bridge,E01003857,Richmond upon Thames 003F,Bicycle theft,Status update unavailable,
9c666eb45c164a062527faf62751996e27bc3dd538fa78a48301d2578a8386e0,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.254459,51.466342,On or near Fitzgerald Avenue,E01003858,Richmond upon Thames 003G,Bicycle theft,Status update unavailable,
720100836eea9d0874da45a696e0c67f3ad71e1434d73ed846dba78c328be3ed,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.273103,51.468255,On or near Rutland Close,E01003865,Richmond upon Thames 004F,Bicycle theft,Status update unavailable,
80a19935efdec9a60d013020a3d3aad26d5b9c7407ec9d586ff3ab8a1bda5549,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.276895,51.464300,On or near Upper Richmond Road West,E01003804,Richmond upon Thames 005A,Bicycle theft,Status update unavailable,
cd05419819675168ac962344dcc42ca3d5b61cd55bf03ec5d84a20f8516332fd,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.266406,51.467553,On or near Supermarket,E01003807,Richmond upon Thames 005B,Bicycle theft,Status update unavailable,
e34051437bec282e3f8945612355dd3dc068e65858a77a96aeafd82a7474b423,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.264909,51.464887,On or near Upper Richmond Road West,E01003807,Richmond upon Thames 005B,Bicycle theft,Court result unavailable,
d06ae33505b21d0c1d2e473abf361cb2bc3b0fd0be984d9b852f7e3a10d63834,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.268628,51.463998,On or near Colston Road,E01003807,Richmond upon Thames 005B,Bicycle theft,Investigation complete; no suspect identified,
36a524cb60e389b770ca27ae4c2c9efd128932f003f7c104783dadb8e1843402,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.281670,51.461339,On or near Sheen Common Drive,E01003875,Richmond upon Thames 006C,Bicycle theft,Status update unavailable,
f1954a9a2ee5893d6982bbbe31fdf3f4d92bd398fccea92cc768a925f610f887,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.318443,51.454103,On or near King'S Road,E01003868,Richmond upon Thames 007B,Bicycle theft,Status update unavailable,
981be59af4f0a1969b22569d7b14de6b9c7552f6f5d95c0a390f232e8a32f8ed,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.322403,51.465050,On or near Railshead Road,E01003871,Richmond upon Thames 007C,Bicycle theft,Investigation complete; no suspect identified,
3013ce69efc78e7f341a38a8a7df62994c7de7300ec1bba50dc9f0b007bad4b4,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.306606,51.458932,On or near Whittaker Avenue,E01003876,Richmond upon Thames 008B,Bicycle theft,Status update unavailable,
94cb224c2c20df8ce7a9fd2b1237f7f1cd84a7bb723628fbafceaab26d9ceb01,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.303987,51.460837,On or near Supermarket,E01003876,Richmond upon Thames 008B,Bicycle theft,Investigation complete; no suspect identified,
3de17d5deaa58d9c56fdbf46b90005a4ac7d79434f445cd3c76a966242d65216,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.305633,51.459161,On or near Castle Yard,E01003876,Richmond upon Thames 008B,Bicycle theft,Investigation complete; no suspect identified,
21cf77727fff2dfdc720537803bc898966c3575cecd4c37258e5b6999c31a3cc,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.303471,51.461963,On or near Quadrant Road,E01003876,Richmond upon Thames 008B,Bicycle theft,Status update unavailable,
f1610cff9caeac518b3be85a106c27b50f7a9485cf482d4b37b94e7f84f49e3f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.302763,51.462420,On or near The Quadrant,E01003876,Richmond upon Thames 008B,Bicycle theft,Investigation complete; no suspect identified,
7b9a7af294cec1fc5726888f14a934b8304223f95e2eab61fe8aa9608e267f63,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.303987,51.460837,On or near Supermarket,E01003876,Richmond upon Thames 008B,Bicycle theft,Investigation complete; no suspect identified,
ec9a3fd65ed9e28811bdb0f8b100549b6af72b11b9d8b8f8daa65ee90ddc7a2a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.321301,51.448371,On or near Lebanon Park,E01003895,Richmond upon Thames 009D,Bicycle theft,Status update unavailable,
e7ce6eb1f93bde2dfc93c44730c46950578fefabe1d4267094d7bf4fea9b8479,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.321301,51.448371,On or near Lebanon Park,E01003895,Richmond upon Thames 009D,Bicycle theft,Investigation complete; no suspect identified,
0a536a360850a30635b491931e4c9e77e5da5be3db43ae9fb305a8cf714707a1,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.338704,51.455795,On or near Butterfield Close,E01003867,Richmond upon Thames 011A,Bicycle theft,Investigation complete; no suspect identified,
f633e0c92c19b71e011187efcc602dafd3ee04a454ed86304b3af306e8a48f80,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.329974,51.450500,On or near Parking Area,E01003869,Richmond upon Thames 011B,Bicycle theft,Court result unavailable,
65a829fad0df6eaad7776f75a29814b5ca6e2c9f4c23f117ebfccb65822a1a6c,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.329974,51.450500,On or near Parking Area,E01003869,Richmond upon Thames 011B,Bicycle theft,Status update unavailable,
47a48114f1cdcb08cc5d13329ca92c5adc3f8543077cd589305f9db19dd8d526,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.329974,51.450500,On or near Parking Area,E01003869,Richmond upon Thames 011B,Bicycle theft,Status update unavailable,
1f038c2f6be333c1f3b837c4080d1a9a66b79db1baa55c10813bbfefa5c08787,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.329974,51.450500,On or near Parking Area,E01003869,Richmond upon Thames 011B,Bicycle theft,Status update unavailable,
9de15912be857367b525b5d80dbd9269465d46924f8b19a440cb522e0ef80feb,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.329974,51.450500,On or near Parking Area,E01003869,Richmond upon Thames 011B,Bicycle theft,Status update unavailable,
13343d3f7e381aaadbaf83f3d49807cb5072b65c1332539890a72d2f60d8e567,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.268937,51.460792,On or near Wayside,E01003805,Richmond upon Thames 012A,Bicycle theft,Investigation complete; no suspect identified,
1321e7933738b138605d0046ffe3cec63c4afd18d98e77b6b5091c048a841795,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.303472,51.445228,On or near Tree Close,E01003816,Richmond upon Thames 012C,Bicycle theft,Investigation complete; no suspect identified,
ae6f67d8792009133b900bdcf4e8f793dd59dd631cca01c439baaee7d10de085,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.313428,51.438267,On or near Police Station,E01003817,Richmond upon Thames 012D,Bicycle theft,Investigation complete; no suspect identified,
b376716da0dc0895c124a72f224c56100620340fd462219cb0e9878b569f7756,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.343014,51.444903,On or near Knight'S Place,E01003883,Richmond upon Thames 014B,Bicycle theft,Status update unavailable,
7c14d1ca642e526acd86c22cd6337fe8cc7f90ad1a3097daa2148c2b3d4c5d14,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.338760,51.446731,On or near Marsh Farm Road,E01003883,Richmond upon Thames 014B,Bicycle theft,Status update unavailable,
0b62ab7f89e1a8c4a97e5b88cba521d8d47ee90f346e71f6e514eeb7c27cd2b3,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.330630,51.445914,On or near Holly Road,E01003897,Richmond upon Thames 014D,Bicycle theft,Investigation complete; no suspect identified,
e4d1f4a5400c6ae39672f3da41f80f204ffe1c7d9d3eb8bbbdd05e40ca90c03e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.329230,51.448403,On or near London Road,E01003897,Richmond upon Thames 014D,Bicycle theft,Status update unavailable,
95b06a4f2f0c349b1a76e4fb45d4071ced14c65eba5bb8ff02441a053d752d60,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.333691,51.445247,On or near Heath Road,E01003897,Richmond upon Thames 014D,Bicycle theft,Status update unavailable,
c48e4dd7d8694bec93b9f28b2338800bc28dbdcfd57fc05544953744d13eccca,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.329230,51.448403,On or near London Road,E01003897,Richmond upon Thames 014D,Bicycle theft,Investigation complete; no suspect identified,
4549a57afdbc3149cedf13e1abf8197f14e6e94b0afe9e28a632b9855ec9bed0,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.329230,51.448403,On or near London Road,E01003897,Richmond upon Thames 014D,Bicycle theft,Status update unavailable,
