Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
ac9a5ad45d0736415a85b5c3acbb122c761dc0094b30a8ee1b6efadb73e0d10c,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.155165,51.380893,On or near Violet Close,E01004188,Sutton 004E,Bicycle theft,Investigation complete; no suspect identified,
9511301ef24c863bdfcb3a70d5071e38fc7cf8f6b4824ba9074a0d07009387ce,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.229262,51.383799,On or near Pondside Avenue,E01004193,Sutton 006D,Bicycle theft,Status update unavailable,
1088c5c33fcbd74dd171768148559fcf54be663f0d7dbc9e6663de72dfde4ca5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.238706,51.380354,On or near Washington Road,E01004195,Sutton 006E,Bicycle theft,Status update unavailable,
5dd11018f67fcfe1f901f15e9d6f4cbfb755382848fdc435946474e4a22043fc,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.186625,51.363004,On or near Clowser Close,E01004139,Sutton 013D,Bicycle theft,Status update unavailable,
69251f6ac7b69c074506c00beb9b6443b1b92eb1ee751b5c136d02c9cb62af48,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.201224,51.367653,On or near Wings Close,E01004143,Sutton 014A,Bicycle theft,Investigation complete; no suspect identified,
bca73eec9446ad08517b5e6309bca521910e9335bf063ed4001d507542e55eb5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.213114,51.354499,On or near Champneys Close,E01004110,Sutton 016A,Bicycle theft,Status update unavailable,
7a8843fa02b019f27db6824bd362afcbdf6fd41b6f628f3e6ba6bae2c2b243e7,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.145770,51.349882,On or near Sandy Hill Road,E01004181,Sutton 020E,Bicycle theft,Status update unavailable,
17df1584fff9f30efbb9dc83ae6cc57b8138eb0466af602370a8b9cebd82c330,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.209406,51.354937,On or near Hillside Road,E01004095,Sutton 025C,Bicycle theft,Status update unavailable,
edc10da8a74232b1af9852025a9506b796690e8e429fee124e6f9690e1e01963,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.179699,51.383354,On or near Paisley Road,E01004123,Sutton 002A,Bicycle theft,Investigation complete; no suspect identified,
318afd5a38e206aa0fa014d42ce379da36654b8c7a3377b3b0ab15ec8f998d88,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.197630,51.373929,On or near Blenheim Road,E01004146,Sutton 007C,Bicycle theft,Investigation complete; no suspect identified,
206426b0a8bf8577f1b12dc8ddf4d6652f2f358c1b970b7e73de45ca16f15844,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.222982,51.371160,On or near Hilbert Road,E01004119,Sutton 009C,Bicycle theft,Status update unavailable,
483bb2cabbc497cefb8902421d503256970aafcd0b5e6d1d2a8bdd80345d7348,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.134489,51.385431,On or near Therapia Lane,E01004076,Sutton 011A,Bicycle theft,Investigation complete; no suspect identified,
1a75e627573f946ec239d50732f1b5d56ae3b645a0ec1bac5d7cee96b50d182a,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.193767,51.369139,On or near Lewis Road,E01004140,Sutton 012B,Bicycle theft,Status update unavailable,
376d87a633a7f474e7abdaa41e8b21fa7b9e36d6d570c0166999159e480b81a3,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.152037,51.360098,On or near Parking Area,E01004170,Sutton 017B,Bicycle theft,Status update unavailable,
b5fe2d4e14f02a21c91d47a26c41db5fb7e77027e658a7a7ede9a0cf8a26f58c,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.149872,51.359983,On or near Manor Road,E01004178,Sutton 017D,Bicycle theft,Investigation complete; no suspect identified,
bc1a33066efe09c395f42d11b975ee6e53240b83a814ab839550792e4edf95cd,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.195029,51.360436,On or near Sutton Park Road,E01004156,Sutton 018C,Bicycle theft,Investigation complete; no suspect identified,
ea5b2525dbed7f74d79765e2f20f5cef68d37cffb09b5c5e50f1ba7e8a6a9e4d,2016-11,Metropolitan Police Service,Metropolitan Police Service,-0.133406,51.353760,On or near Brown Close,E01004089,Sutton 019D,Bicycle theft,Status update unavailable,
5d668ab8f6ab1abe9a73fe74d5d95cbfdbf4064d9403b153ef6cbd73c474e840,2016-12,Metropolitan Police Service,Metropolitan Police Service,-0.238587,51.386089,On or near Caverleigh Way,E01004192,Sutton 006C,Bicycle theft,Status update unavailable,
a0a4efdbdb5bcad250d08147e479134acd92d27c1d69abcfa1e2767292fc28a3,2016-12,Metropolitan Police Service,Metropolitan Police Service,-0.229963,51.378657,On or near Brecon Close,E01004190,Sutton 008C,Bicycle theft,Investigation complete; no suspect identified,
fda8257bf9d740009c9d5072bf64bc2ed3e90dc975292ef6ceb275974b187bd0,2016-12,Metropolitan Police Service,Metropolitan Police Service,-0.221429,51.367872,On or near Priory Avenue,E01004118,Sutton 009B,Bicycle theft,Investigation complete; no suspect identified,
a6d60f4d94e4f3baecddef57a95cc8e17cef625ae005a3fbed647950207f47b2,2016-12,Metropolitan Police Service,Metropolitan Police Service,-0.192968,51.364990,On or near Lodge Place,E01004142,Sutton 012D,Bicycle theft,Investigation complete; no suspect identified,
29414c9e5d14056cbb707d10f456f7ae1ca52e0e26390f609a08b0aa8fa35589,2016-12,Metropolitan Police Service,Metropolitan Police Service,-0.193175,51.360101,On or near Grove Road,E01004142,Sutton 012D,Bicycle theft,Investigation complete; no suspect identified,
f455ffd947b8abe40ee07e469c7957ae9c37209d29bb29069abfe39c84389a96,2016-12,Metropolitan Police Service,Metropolitan Police Service,-0.210563,51.367257,On or near St Albans Road,E01004159,Sutton 014C,Bicycle theft,Status update unavailable,
