Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
848769f3b9933812e2654cf150cae7a1d861cdf408200ec335c3108013cf23cd,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.029698,51.534964,On or near Pulteney Close,E01004222,Tower Hamlets 001A,Bicycle theft,Status update unavailable,
85fc81b36f0b45f8a00cd5b623f0ba20368346842c128a4fd441488be0890931,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.030122,51.536491,On or near Sycamore Avenue,E01004223,Tower Hamlets 001B,Bicycle theft,Status update unavailable,
f1bcf2c1d3ac45174ef2eb21431a95e8a80260fa32fa2523d4af399343a7af7f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.022446,51.538925,On or near Stour Road,E01004224,Tower Hamlets 001C,Bicycle theft,Status update unavailable,
072bff7bc6afd99f8538702517e100bd5e3f8c7764b26412937cefd58d555349,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.026808,51.534088,On or near Parnell Road,E01004224,Tower Hamlets 001C,Bicycle theft,Investigation complete; no suspect identified,
b36839f534cd456fd3006a8caf76c9495e1a574982798e15b19168477cea9e50,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.021672,51.540494,On or near Roach Road,E01004224,Tower Hamlets 001C,Bicycle theft,Investigation complete; no suspect identified,
0584bda28cfd36a7b757311fe77a4e91da6ea64cd7b284334e4d6f82d155df0c,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.021672,51.540494,On or near Roach Road,E01004224,Tower Hamlets 001C,Bicycle theft,Status update unavailable,
e74b5cc6e2903c707f338e0c02e30d70b072f56da4b9ac4933752c301b55f5fb,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.057321,51.534382,On or near Mare Street,E01004197,Tower Hamlets 002A,Bicycle theft,Investigation complete; no suspect identified,
86cf3db6bf06560d0a90bce13b74c09dd8de2e90d3a8998155f1273365aefaf8,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.037273,51.531485,On or near Roman Road,E01004230,Tower Hamlets 003B,Bicycle theft,Investigation complete; no suspect identified,
38f47308c47e02fb548b73452934543ff8d0e431ea2db49adea890223a16792c,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.040253,51.531931,On or near Bunsen Street,E01004234,Tower Hamlets 003E,Bicycle theft,Investigation complete; no suspect identified,
8d261f9065ef89353e28e7d6cad4343fa47c11fe603f66cae4876b713cf1a1b9,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.035528,51.532508,On or near Hewlett Road,E01004234,Tower Hamlets 003E,Bicycle theft,Investigation complete; no suspect identified,
2990e4441b67b31a4da75fd6db61898102732ab28d3716990569fe3e9fce61c9,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.020562,51.528839,On or near Paton Close,E01004225,Tower Hamlets 004A,Bicycle theft,Status update unavailable,
88257e630ffa06e5a408a794ef53b82ac42ba883b0110ab93396f249a6b10de2,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.030918,51.528060,On or near Coborn Road,E01004229,Tower Hamlets 004C,Bicycle theft,Investigation complete; no suspect identified,
eb98266a14de05ed92d668c8e8c0722813605c46d9ec187aff829e27e848c889,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.021979,51.528072,On or near Petrol Station,E01004231,Tower Hamlets 004D,Bicycle theft,Status update unavailable,
7860c15f94d17fd2a38363eb6e4d7e47ae634b181641d9dc182e7ec5ae5e4604,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.017482,51.528724,On or near Bow Road,E01032764,Tower Hamlets 004E,Bicycle theft,Status update unavailable,
