Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
3d25c5bcebb3176678fcbba12f206a3a1c29f2500dd32819a9a116b7b0561c6a,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.002099,51.621384,On or near Withy Mead,E01004384,Waltham Forest 003A,Bicycle theft,Investigation complete; no suspect identified,
cecf8ac8849617a1071da392f6fff4cc94332710d210de8efaa8213b63b9a8e9,2016-10,Metropolitan Police Service,Metropolitan Police Service,0.002099,51.621384,On or near Withy Mead,E01004384,Waltham Forest 003A,Bicycle theft,Status update unavailable,
85d73b7d0a930bc5824620f9ff81ed4a9c1c1b0f3b0b3650e5d00a411101c75a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.007195,51.616650,On or near Bailey Close,E01004413,Waltham Forest 004C,Bicycle theft,Investigation complete; no suspect identified,
0adda512b9e357a2b3f1adf836458f68bcfb76cc2a3a20132e71ce7af8b76c92,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.028931,51.614742,On or near Hall Lane,E01004453,Waltham Forest 006B,Bicycle theft,Status update unavailable,
c77e05e0c2cbb9852dfa532c85a78e787c16af8f60a53b5b5772676db0693ad5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.014476,51.598771,On or near Roberts Road,E01004344,Waltham Forest 008B,Bicycle theft,Investigation complete; no suspect identified,
68176405dca2395ab8cb4cb238755e21f023ff323e64e712a0eee77b0d8a478d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.030513,51.598897,On or near Shaw Square,E01004403,Waltham Forest 009E,Bicycle theft,Status update unavailable,
07f4c6ecb053322fe20031c1a096b03a44d91fc8974aee8ea631db6e5c5f3e3e,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.026447,51.587084,On or near Erskine Road,E01004462,Waltham Forest 011E,Bicycle theft,Status update unavailable,
00db2cae9529b55520ddbe1569d95f70acd1ce983492c6069a57f9fbff40fb14,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.022229,51.589477,On or near Pearl Road,E01004457,Waltham Forest 012B,Bicycle theft,Investigation complete; no suspect identified,
1d58fd4d14b2d8d17b388b09fa6c1f87b32248c457653f8f3dda1cf2cf709e3a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.021988,51.591703,On or near Winns Terrace,E01004463,Waltham Forest 012E,Bicycle theft,Status update unavailable,
2aaa1efbc5e8af7afd2ad631f93f0a9b8b1b5939d8c747124284d24152cf5879,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.004910,51.591675,On or near Fulbourne Road,E01004470,Waltham Forest 013E,Bicycle theft,Investigation complete; no suspect identified,
