Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
5b5c49dade775f2df383dd0a73f9de0236c560c919efab2bfce17f103fb1088d,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.156043,51.474853,On or near Alexandra Avenue,E01004560,Wandsworth 001A,Bicycle theft,Investigation complete; no suspect identified,
e50101aad128b01a241db8cc1dc3e6a8266959fd6a370c5dbf39f79ef5a46e9a,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.162007,51.479074,On or near Sports/Recreation Area,E01004560,Wandsworth 001A,Bicycle theft,Investigation complete; no suspect identified,
6cf64879af0da8761c21cd01b3f35178f8b51c9b348b6618f4b0843d0c43cbbf,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.153760,51.473261,On or near Francis Chichester Way,E01004563,Wandsworth 002C,Bicycle theft,Status update unavailable,
932fd1508ac0e754f04bab6297b8446bbeb4c6e36a78c410d49e2efe16fbf901,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.150844,51.474510,On or near Rawson Street,E01004563,Wandsworth 002C,Bicycle theft,Status update unavailable,
b461208a631586888b5cb9970af6973aea795c5ecf6f8d73810719eb99206f00,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.145786,51.474601,On or near Ingate Place,E01004564,Wandsworth 002D,Bicycle theft,Status update unavailable,
3bc9a40383180ed663c3997a71fad4636dc30911fb9807c7eb6381fcf548dfda,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.141302,51.474746,On or near Linford Street,E01004567,Wandsworth 002E,Bicycle theft,Investigation complete; no suspect identified,
c6e49cada0c776671b403ab7bed49f88a7224e12f3376dfaaeae478d24b85de1,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.147695,51.475828,On or near Queenstown Road,E01033100,Wandsworth 002G,Bicycle theft,Offender fined,
12717a0a6f37dfea1bee0c9cb859c692ce310737f61c78a186370045d2f4490f,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.159064,51.471708,On or near Culvert Road,E01004539,Wandsworth 003A,Bicycle theft,Status update unavailable,
a9c517091e1dbb855ccb79e4eb70e29d7f6d4ae54a661cdf3b82edbefa99834b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.156816,51.472113,On or near Blondel Street,E01004539,Wandsworth 003A,Bicycle theft,Status update unavailable,
5aa23a5bb0d27278735c496f8f67ac29d54af818347b4e93727b5c6edb97ded5,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.165796,51.471508,On or near Atherton Street,E01004540,Wandsworth 003B,Bicycle theft,Investigation complete; no suspect identified,
