Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
58d6d9a83c29fea8eaf5ead79252f715e106327d8ee76d9ce28d28c10e6edcc9,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.175780,51.525861,On or near Northwick Close,E01004728,Westminster 003D,Bicycle theft,Status update unavailable,
54b03e10cee58df8f59b8c077e4fd1636c47854309a1257ac7bdde97e1d1edea,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.176595,51.525649,On or near Northwick Terrace,E01004728,Westminster 003D,Bicycle theft,Investigation complete; no suspect identified,
558a38e23e0b5c5c442c09b4904ab1668125d5ca5d21f397a7bd37dea1f1b5dc,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.211192,51.527540,On or near Droop Street,E01004721,Westminster 004D,Bicycle theft,Status update unavailable,
8cdca7278271619499a064c6b80e6ff399ca6bdd05981a9a300abe69c83fe400,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.206187,51.531267,On or near Oslow Close,E01004722,Westminster 004E,Bicycle theft,Status update unavailable,
625c042229be24dafe8ee534d41db3a886cddced94cf1dca333189953a170a3c,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.199900,51.524337,On or near Chantry Close,E01004675,Westminster 005B,Bicycle theft,Investigation complete; no suspect identified,
bcf2978a7ff445a278f44bcf49c7902dd33d1c56b5ab93162a8429abc955c5de,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.197369,51.527832,On or near Malvern Road,E01004678,Westminster 005D,Bicycle theft,Status update unavailable,
ed019f03bebd66ad7a3d554258cf900fc8adb5991a184abeced1e7926b66a506,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.192754,51.525333,On or near Thorngate Road,E01004676,Westminster 006A,Bicycle theft,Investigation complete; no suspect identified,
6ffefe8f104f9c8bc72b395e6662884df55b57ff49766d798ee9da2525b4ddd3,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.193405,51.531458,On or near Kilburn Park Road,E01004708,Westminster 006D,Bicycle theft,Status update unavailable,
dcedee4c746a1561ec9839fc38fbcd3edaa1ee59090e6c72552bf2bf6b1e5bef,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.193405,51.531458,On or near Kilburn Park Road,E01004708,Westminster 006D,Bicycle theft,Status update unavailable,
8546bae6338276cc5f9502ca4bdbf396e320286ee3f6b1f9bceeeeb5e3102844,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.179187,51.523199,On or near Maida Avenue,E01004703,Westminster 007B,Bicycle theft,Investigation complete; no suspect identified,
05835c917ad3112321f0d30d58fccf05a4f77cabdb1ae10b145624bfe615fad7,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.183443,51.527473,On or near Sutherland Avenue,E01004709,Westminster 007E,Bicycle theft,Investigation complete; no suspect identified,
48f5f9b02b564a147b9d19a4d25df50c29529fb2b91e6a04bce7e2676d987261,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.186523,51.524688,On or near Pindock Mews,E01033600,Westminster 007F,Bicycle theft,Investigation complete; no suspect identified,
